Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
mepa080,Jakarta Pusat,Menteng,1,1,0,28.0,72000000
rsrb001,Jakarta Pusat,Kemayoran,1,1,1,73.0,125000000
gprc024,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,55000000
astb001,Tangerang,Cikokol,1,1,1,45.0,80000000
tnaa026,Tangerang,Karang Tengah,0,1,0,27.0,30000000
clsb008,Jakarta Pusat,Sudirman,1,1,1,76.0,180000000
tmjc128,Jakarta Pusat,Kemayoran,1,1,2,62.0,80000000
spvc045,Jakarta Utara,Sunter,1,1,2,35.0,43500000
z-b0001,Jakarta Selatan,Permata Hijau,1,1,1,60.0,163800000
kmvc015,Jakarta Selatan,Kemang,1,2,2,110.0,240000000
bica003,Tangerang,Bintaro,1,1,0,27.0,84000000
gtcd002,Jakarta Barat,Grogol,0,2,3,111.0,100000000
mepc015,Jakarta Pusat,Menteng,1,2,2,60.0,240000000
rorb002,Jakarta Selatan,Pejaten,0,1,1,35.92,48000000
cptc002,Jakarta Pusat,Salemba,1,2,2,79.0,152000000
strc020,Jakarta Timur,Cakung,1,1,2,35.0,38000000
tbvb005,Jakarta Pusat,Tanah Abang,1,1,1,45.0,90000000
skgc024,Jakarta Selatan,Setiabudi,1,2,2,93.0,300000000
cpab002,Jakarta Barat,Cengkareng,1,1,1,36.0,17000000
brzb011,Tangerang,BSD City,1,1,1,43.0,110000000
mqrc035,Jakarta Barat,Kebon Jeruk,0,2,2,76.0,80000000
pucb080,Jakarta Barat,Cengkareng,1,1,1,36.0,47000000
mapb024,Jakarta Barat,Tanjung Duren,0,1,1,29.0,54000000
mepc059,Jakarta Pusat,Menteng,1,2,2,60.0,144000000
ganc007,Jakarta Utara,Kelapa Gading,1,1,2,35.0,27000000
htpb006,Jakarta Selatan,Pondok Indah,1,1,1,56.0,132000000
tnsa002,Jakarta Timur,Pasar Rebo,1,1,0,29.0,38000000
grpc011,Jakarta Selatan,Kalibata,1,1,2,35.0,51000000
bprb001,Jakarta Selatan,Bintaro,1,1,1,42.0,84000000
ghtc014,Jakarta Selatan,Gandaria,1,3,2,92.0,228000000
sscc053,Jakarta Barat,Grogol,0,2,2,55.0,54000000
thrc015,Jakarta Pusat,Thamrin,1,1,2,65.0,120000000
mpra109,Jakarta Barat,Kedoya,1,1,0,32.0,49000000
pukb002,Jakarta Pusat,Kemayoran,1,1,1,49.0,57000000
htpb004,Jakarta Selatan,Pondok Indah,1,1,1,58.0,115200000
