No_Rooms,Bathroom,Longitude,Latitude,Furnished,Area,Total_Facilities,AnnualPrice
1,1,106.806005,-6.228974,1,102.0,14,288000000
2,1,106.88373,-6.157527,1,35.0,20,37900000
1,1,106.838974,-6.180433,1,36.0,23,100000000
2,1,106.75921299999999,-6.258118,1,36.0,20,60000000
2,2,106.828806,-6.215463,1,93.0,24,288000000
1,1,106.729326,-6.166036,0,35.0,15,38000000
1,1,106.83541799999999,-6.307531,1,28.0,23,39000000
2,2,106.89143999999999,-6.1493910000000005,1,83.0,22,110000000
3,3,106.761852,-6.1969970000000005,0,138.0,13,120000000
2,1,106.84986599999999,-6.257697,0,35.0,18,48000000
0,1,106.83541799999999,-6.307531,1,21.0,22,28000000
2,1,106.900954,-6.168483,1,46.0,19,34000000
2,1,106.866201,-6.245201,1,43.0,20,85000000
0,1,106.723973,-6.195343,1,27.0,14,30000000
2,1,106.879075,-6.2250309999999995,1,34.0,20,52750000
1,1,106.829196,-6.224797,1,48.0,23,168000000
2,1,106.851642,-6.15528,1,45.0,21,44000000
2,1,106.81802900000001,-6.205971,1,62.0,23,80000000
2,1,106.890391,-6.149836,1,45.0,24,60000000
2,1,106.75606100000002,-6.192081,0,35.0,16,28000000
1,1,106.7917,-6.1792,1,28.0,13,65250000
2,1,106.769194,-6.237472,1,38.0,20,75600000
0,1,106.6809,-6.1615,0,21.0,12,24000000
1,1,106.816842,-6.1973519999999995,1,41.0,24,102000000
2,1,106.79605600000001,-6.153652,1,55.0,20,60000000
2,1,106.78834199999999,-6.174633999999999,1,40.0,19,34000000
2,1,106.78834199999999,-6.174633999999999,1,40.0,21,40000000
1,1,106.729326,-6.166036,1,35.0,20,70000000
1,1,106.830173,-6.276866,1,35.0,22,78000000
1,1,106.816842,-6.1973519999999995,1,42.0,24,80000000
1,1,106.793682,-6.180333999999999,1,37.0,20,58000000
2,1,106.88373,-6.157527,1,35.0,20,30000000
0,1,106.866201,-6.245201,1,25.0,18,50000000
0,1,106.7422,-6.2737,1,23.0,15,60000000
0,1,106.729326,-6.166036,1,23.0,19,33750000
1,1,106.85716000000001,-6.14607,0,29.0,18,35000000
2,1,106.80329499999999,-6.224544,1,63.0,21,220000000
1,1,106.851836,-6.257162999999999,1,21.0,19,42200000
2,1,106.816842,-6.1973519999999995,1,65.0,23,132000000
3,2,106.7917,-6.1792,1,65.0,14,133000000
0,1,106.6285,-6.2144,0,25.0,11,30000000
3,3,106.787499,-6.24604,1,177.0,23,540000000
2,1,106.79539199999999,-6.303504,1,48.0,22,100000000
1,1,106.85185800000001,-6.200232,1,33.0,20,47000000
0,1,106.83846299999999,-6.191791,1,28.0,22,102000000
1,1,106.789934,-6.178351,1,50.0,24,90000000
2,1,106.851836,-6.257162999999999,1,35.0,21,43000000
1,1,106.729326,-6.166036,1,36.0,21,35000000
2,1,106.73873,-6.190723,1,84.0,24,180000000
2,1,106.71927099999999,-6.155485,1,35.0,19,36000000
2,1,106.757651,-6.186415,0,53.0,19,73500000
2,1,106.73873,-6.190723,1,84.0,24,140000000
2,1,106.75606100000002,-6.192081,1,35.0,18,35000000
2,1,106.6866,-6.294,1,39.0,16,45000000
2,2,106.811453,-6.259374,1,110.0,21,240000000
2,1,106.794123,-6.222613,1,79.0,12,270000000
2,1,106.73873,-6.190723,1,88.0,22,112450000
2,2,106.816842,-6.1973519999999995,1,124.0,23,168000000
2,1,106.925427,-6.203576,1,33.0,19,24000000
2,1,106.75606100000002,-6.192081,1,35.0,19,32000000
2,1,106.853714,-6.134868,1,42.0,20,45000000
3,2,106.813631,-6.211458,1,120.0,23,240000000
2,1,106.757651,-6.186415,1,53.0,21,70000000
2,1,106.866201,-6.245201,1,49.0,20,85000000
0,1,106.999,-6.2224,1,25.0,15,32500000
2,1,106.71927099999999,-6.155485,1,34.0,20,35000000
0,1,106.723973,-6.195343,1,27.0,16,38150000
2,1,106.999,-6.2224,1,42.0,16,48000000
0,1,106.83846299999999,-6.191791,0,33.0,22,90000000
3,2,106.842672,-6.224187000000001,1,117.0,24,307800000
2,1,107.1763,-6.3417,0,54.0,18,50000000
2,1,106.63286599999999,-6.242534,0,42.0,16,40000000
1,1,106.87319099999999,-6.1879290000000005,1,33.0,20,60000000
2,1,106.82591799999999,-6.223273000000001,1,88.0,21,149000000
2,2,106.81438500000002,-6.247255,1,74.0,23,96000000
0,1,106.757651,-6.186415,0,32.0,16,26000000
1,1,106.736764,-6.131012999999999,1,36.0,17,17000000
2,2,106.769194,-6.237472,1,49.0,20,75600000
1,1,106.816326,-6.183112,1,43.0,21,96000000
2,1,106.81865400000001,-6.194443,1,50.0,20,100800000
1,1,106.789248,-6.176076,1,33.0,20,70000000
0,1,106.789248,-6.176076,1,28.0,12,52000000
0,1,106.8167,-6.3689,1,22.0,15,30000000
0,1,106.730093,-6.174074,0,26.0,8,25000000
0,2,106.79605600000001,-6.153652,0,21.0,14,30000000
2,1,106.890391,-6.149836,1,45.0,23,60000000
1,1,106.816842,-6.1973519999999995,1,38.0,24,110200000
2,2,106.82591799999999,-6.223273000000001,1,100.0,21,144000000
2,1,106.799198,-6.202724,1,53.0,23,108000000
3,3,106.78946699999999,-6.232826,1,225.0,24,529700000
2,1,106.769194,-6.237472,1,40.0,20,70000000
1,1,106.85061100000001,-6.155864,1,50.0,20,40000000
3,2,106.84629199999999,-6.222918,1,67.0,24,122700000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,53000000
3,2,106.852851,-6.153583,1,100.0,21,180000000
2,1,106.79605600000001,-6.153652,1,48.0,20,55000000
0,1,106.87319099999999,-6.1879290000000005,0,21.0,18,35000000
2,1,106.757651,-6.186415,0,57.0,17,42000000
0,1,106.789248,-6.176076,1,36.0,19,55000000
2,1,106.861756,-6.252397,1,32.0,21,50000000
2,1,106.723973,-6.195343,1,45.0,19,40000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,16,40000000
2,1,106.83846299999999,-6.191791,1,61.0,15,165000000
1,1,106.81649499999999,-6.195839,1,43.0,23,108000000
2,1,106.78816599999999,-6.175894,1,42.0,23,60000000
1,1,106.90525,-6.181305,1,43.0,20,42000000
1,1,106.829196,-6.224797,1,48.0,24,144000000
0,1,106.60767299999999,-6.228493,1,31.5,20,50000000
2,1,106.728591,-6.182729,1,63.0,13,80000000
1,1,106.65211299999999,-6.3064,1,42.0,17,45000000
0,1,106.78238999999999,-6.317404,1,22.0,14,30000000
3,2,106.791409,-6.282965,1,121.0,24,437400000
0,1,106.83846299999999,-6.191791,1,32.0,21,102000000
2,1,106.78816599999999,-6.175894,1,42.0,23,54000000
3,1,106.879075,-6.2250309999999995,1,48.0,21,63000000
1,1,106.815474,-6.194509,1,36.0,20,85000000
0,1,106.60767299999999,-6.228493,1,31.0,18,43000000
1,1,106.65211299999999,-6.3064,1,34.0,21,50000000
1,1,106.836669,-6.193861,1,88.0,21,180000000
1,1,106.84986599999999,-6.257697,1,35.0,23,54000000
0,1,106.7082,-6.2708,1,25.0,15,36000000
1,1,106.81649499999999,-6.195839,0,45.0,14,108000000
2,1,106.85493600000001,-6.147823000000001,0,76.0,17,54350000
0,1,106.925427,-6.203576,1,30.0,17,25000000
1,1,106.83684699999999,-6.213647,1,40.0,20,101100000
2,1,106.819529,-6.209877,1,70.0,24,200050000
2,1,106.879075,-6.2250309999999995,0,34.0,18,44000000
2,1,106.83936299999999,-6.129877,1,41.0,19,55000000
2,1,106.94893300000001,-6.203631,1,36.0,20,33000000
2,1,106.94893300000001,-6.203631,1,33.0,21,30000000
1,1,106.799198,-6.202724,1,46.0,24,84000000
1,1,106.87319099999999,-6.1879290000000005,0,33.0,22,36000000
3,2,106.793302,-6.177578,1,146.0,24,130000000
3,2,106.76787900000001,-6.1909540000000005,1,128.0,21,173200000
0,1,106.63316999999999,-6.194771,0,45.9,20,40000000
0,1,106.810318,-6.255134,1,62.0,21,152000000
3,3,106.83291299999999,-6.214428,1,172.0,21,495750000
2,2,106.789248,-6.176076,1,54.0,19,90000000
2,1,106.925427,-6.203576,1,33.0,18,24000000
1,1,106.789934,-6.178351,1,44.0,24,95000000
2,1,106.819529,-6.209877,1,89.0,23,226800000
3,3,106.767022,-6.273588,1,123.0,21,240000000
1,1,106.900954,-6.168483,1,37.0,19,31000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,22,50000000
2,1,106.815297,-6.149237,0,61.0,12,35000000
2,1,106.866201,-6.245201,1,52.0,19,78000000
3,2,106.81608600000001,-6.220197,1,110.0,22,204000000
2,2,106.834236,-6.225832,1,92.0,24,168000000
3,1,106.78816599999999,-6.175894,1,160.0,15,95000000
3,2,106.842672,-6.224187000000001,1,99.0,24,203950000
2,2,106.78744499999999,-6.236653,1,165.0,22,465000000
2,1,106.769194,-6.237472,1,49.0,20,75000000
3,3,106.798162,-6.200393,1,121.0,22,114000000
2,1,106.75606100000002,-6.192081,0,35.0,15,24000000
2,1,106.81802900000001,-6.205971,1,80.0,23,120000000
2,1,106.90444099999999,-6.181255,1,36.0,20,25000000
1,1,106.837375,-6.216519,1,33.0,24,76500000
3,1,106.879075,-6.2250309999999995,0,48.0,12,40000000
1,1,106.750249,-6.112092,1,51.0,17,85000000
1,1,106.729326,-6.166036,1,35.0,21,42000000
1,1,106.6287,-6.2433,1,42.0,15,60000000
0,1,106.836638,-6.148474,1,23.0,20,35000000
1,1,106.682451,-6.293003,1,30.0,16,30000000
2,1,106.769194,-6.237472,1,38.0,19,65000000
1,1,106.94893300000001,-6.203631,1,30.0,19,22000000
2,1,106.892794,-6.17518,1,43.0,19,40000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,49500000
2,2,106.816842,-6.1973519999999995,1,80.0,23,156000000
1,1,106.8318,-6.3722,1,30.0,14,40000000
2,2,106.9906,-6.2519,1,72.0,15,71500000
0,1,106.77275700000001,-6.1637889999999995,0,26.0,12,21000000
1,1,106.842672,-6.224187000000001,1,43.0,24,219650000
0,1,106.757651,-6.186415,0,30.0,17,25000000
2,2,106.84297099999999,-6.24805,1,122.0,22,240000000
3,3,106.806005,-6.228974,1,180.0,23,518400000
1,1,106.78834199999999,-6.174633999999999,1,31.0,21,34000000
1,1,106.84527299999999,-6.222923000000001,1,80.0,24,192000000
0,1,106.6379,-6.2246,0,22.5,9,35000000
2,1,106.861756,-6.252397,1,32.0,21,35000000
1,1,106.861756,-6.252397,0,32.0,14,45000000
1,1,106.7917,-6.1792,1,38.0,14,70500000
2,1,106.71927099999999,-6.155485,1,35.0,22,33000000
2,2,106.82921,-6.128082,1,61.0,21,65000000
0,1,106.94893300000001,-6.203631,0,25.0,15,27000000
2,1,106.85716000000001,-6.14607,1,60.0,22,48500000
2,1,106.88373,-6.157527,1,35.0,21,35000000
3,1,106.879075,-6.2250309999999995,1,38.0,19,60000000
1,1,106.729326,-6.166036,1,30.0,20,40000000
1,1,106.80923999999999,-6.213072,1,63.0,23,162000000
2,1,106.769194,-6.237472,1,39.0,20,55000000
0,1,106.728591,-6.182729,0,26.0,7,30000000
2,1,106.789248,-6.176076,1,42.0,11,75000000
0,1,106.79481200000001,-6.33638,1,21.0,19,19500000
3,2,106.73873,-6.190723,1,148.0,15,280000000
0,1,106.7827,-6.556,1,26.0,15,45000000
2,2,106.829196,-6.224797,1,98.0,23,210000000
0,1,106.60767299999999,-6.228493,1,33.0,18,45000000
3,2,106.791409,-6.282965,1,187.0,24,390000000
3,2,106.7874,-6.2914,1,135.0,3,170000000
3,2,106.811453,-6.259374,1,168.0,22,423360000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,54150000
3,1,106.81802900000001,-6.205971,1,68.0,24,100100000
0,1,106.75606100000002,-6.192081,1,22.0,20,35000000
0,1,106.811453,-6.259374,1,43.0,22,120000000
2,2,106.82419399999999,-6.227334,1,84.0,24,300000000
2,1,106.85185800000001,-6.200232,1,49.0,21,72000000
1,1,106.729326,-6.166036,1,35.0,21,50000000
2,1,106.78834199999999,-6.174633999999999,1,40.0,21,43000000
2,1,106.869542,-6.341016000000001,0,34.0,20,50000000
0,1,106.88373,-6.157527,1,22.0,19,24000000
1,0,106.7917,-6.1792,0,38.0,10,54500000
0,1,106.762396,-6.200106,1,21.0,17,34000000
2,1,106.736764,-6.131012999999999,1,28.0,18,22000000
1,1,106.78834199999999,-6.174633999999999,1,26.0,20,32000000
2,1,106.78816599999999,-6.175894,1,42.0,23,50000000
0,1,106.83846299999999,-6.191791,1,33.0,22,85000000
1,1,106.813631,-6.211458,1,38.0,23,108000000
2,1,106.85716000000001,-6.14607,1,51.0,20,60000000
2,1,106.79481200000001,-6.33638,1,36.0,19,54000000
1,1,106.861756,-6.252397,1,30.0,21,40200000
3,1,106.9902,-6.2565,1,49.0,13,45000000
3,3,106.7917,-6.1792,1,135.0,15,175000000
3,2,106.83951100000002,-6.174313,1,114.0,21,124200000
2,2,106.828806,-6.215463,1,93.0,24,305000000
1,1,106.806005,-6.228974,1,79.0,17,180000000
2,1,106.793302,-6.177578,1,88.0,22,110000000
2,1,106.879075,-6.2250309999999995,1,36.0,19,50000000
2,1,106.869542,-6.341016000000001,1,32.0,21,55000000
2,1,106.879075,-6.2250309999999995,1,34.0,19,54000000
2,1,106.851836,-6.257162999999999,1,33.0,19,43500000
0,1,106.79605600000001,-6.153652,1,31.0,18,37000000
0,1,106.789248,-6.176076,1,30.0,19,70000000
3,2,106.819529,-6.209877,1,110.0,24,324000000
1,1,106.783318,-6.2201830000000005,1,64.0,23,135000000
2,1,106.87319099999999,-6.1879290000000005,0,35.0,19,34000000
0,1,106.75606100000002,-6.192081,1,21.0,19,35000000
2,1,106.778618,-6.109022,1,35.0,23,39000000
0,1,106.999,-6.2224,1,25.0,17,36000000
3,1,106.7917,-6.1792,0,65.0,10,87000000
2,1,106.879075,-6.2250309999999995,1,33.0,19,50000000
2,1,106.791409,-6.282965,1,58.0,24,210600000
2,3,106.834698,-6.217791,1,86.0,22,190000000
0,1,106.83846299999999,-6.191791,1,28.0,16,84000000
2,1,106.789248,-6.176076,1,53.5,19,76500000
0,1,106.892794,-6.17518,1,21.0,18,27500000
2,1,106.729326,-6.166036,0,50.0,15,43000000
2,1,106.75606100000002,-6.192081,1,35.0,21,45500000
2,2,106.77816000000001,-6.289954,1,92.0,23,90000000
2,2,106.829196,-6.224797,1,90.0,24,252000000
1,1,106.810318,-6.255134,1,64.0,22,132000000
2,1,106.879075,-6.2250309999999995,1,36.0,18,54500000
2,1,106.83846299999999,-6.191791,1,53.0,22,210000000
1,1,106.813631,-6.211458,1,49.0,23,132000000
1,1,106.7428,-6.2735,0,31.0,10,38000000
3,2,106.787401,-6.224566,1,103.0,22,240000000
2,1,106.62910600000001,-6.199893,0,38.0,20,33000000
2,1,106.79605600000001,-6.153652,1,48.0,20,60000000
2,1,106.81649499999999,-6.195839,1,65.0,23,154500000
0,1,106.7917,-6.1792,0,26.0,9,54500000
2,1,106.85493600000001,-6.147823000000001,0,70.0,15,55000000
0,1,106.81649499999999,-6.195839,1,23.0,20,70000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,53000000
2,1,106.62910600000001,-6.199893,1,39.0,20,38000000
2,1,106.85185800000001,-6.200232,1,30.0,20,45000000
1,1,106.793302,-6.177578,1,88.0,24,125000000
2,1,106.879075,-6.2250309999999995,1,34.0,18,55000000
2,1,106.7917,-6.1792,1,44.0,8,60000000
2,1,106.81802900000001,-6.205971,1,52.0,24,75000000
2,1,106.84297099999999,-6.24805,1,122.0,22,180000000
0,1,106.88373,-6.157527,1,22.0,20,36550000
1,1,106.65066100000001,-6.224871,1,43.0,17,75000000
3,2,106.789248,-6.176076,1,110.0,20,165000000
2,1,106.890391,-6.149836,1,45.0,24,65000000
2,2,106.85493600000001,-6.147823000000001,1,70.0,22,100000000
3,2,106.813631,-6.211458,1,115.0,21,192000000
1,1,106.810318,-6.255134,1,87.0,19,120000000
2,1,106.84986599999999,-6.257697,1,36.0,22,56000000
1,1,106.81915900000001,-6.226598,1,44.0,23,72000000
2,2,106.82013899999998,-6.221259,1,86.0,22,240000000
2,1,106.62910600000001,-6.199893,1,38.0,21,55000000
1,1,106.816326,-6.183112,1,45.0,20,90000000
0,1,106.855352,-6.255808999999999,1,28.0,22,72000000
3,2,106.7917,-6.1792,0,65.0,10,100000000
2,2,106.811453,-6.259374,1,130.0,21,299880000
1,1,106.85185800000001,-6.200232,1,33.0,21,50000000
3,2,106.7846,-6.2726370000000005,1,210.0,23,627500000
1,1,106.729326,-6.166036,1,35.0,20,45000000
2,2,106.80668,-6.2284440000000005,1,153.0,24,431000000
2,1,106.90444099999999,-6.181255,0,33.0,14,24000000
0,1,106.757651,-6.186415,1,27.0,20,38850000
2,1,106.861756,-6.252397,1,36.0,21,40000000
3,1,106.8318,-6.3722,1,50.0,17,50000000
3,3,106.84297099999999,-6.24805,1,162.0,22,324000000
2,2,106.788904,-6.24568,1,94.0,24,317520000
3,2,106.793302,-6.177578,1,146.0,24,180000000
2,1,106.71927099999999,-6.155485,0,33.0,20,25000000
2,1,106.73873,-6.190723,1,112.0,24,160000000
2,1,106.75921299999999,-6.258118,1,36.0,21,52000000
1,1,106.81865400000001,-6.194443,1,42.0,21,72000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,44100000
2,1,106.75606100000002,-6.192081,1,35.0,20,45000000
3,2,106.828806,-6.215463,1,135.0,18,405720000
2,1,106.85493600000001,-6.147823000000001,0,73.0,17,52500000
0,1,106.87231100000001,-6.245309,1,37.0,19,60000000
1,1,106.82741100000001,-6.284048,1,34.0,21,60050000
0,1,106.83846299999999,-6.191791,1,28.0,22,80000000
0,1,106.78238999999999,-6.317404,1,22.0,15,36000000
0,1,106.75606100000002,-6.192081,1,21.0,20,32000000
0,1,106.762396,-6.200106,1,22.0,16,35000000
0,1,106.83846299999999,-6.191791,1,33.0,16,84000000
2,2,106.834698,-6.217791,1,87.0,22,240000000
0,1,106.832472,-6.360354,1,29.0,15,36000000
0,1,106.75921299999999,-6.258118,1,22.0,20,35000000
0,1,106.83846299999999,-6.191791,1,28.0,22,80000000
2,1,106.769194,-6.237472,1,39.0,19,55000000
2,1,106.81802900000001,-6.205971,1,52.0,18,96000000
0,1,106.750249,-6.112092,1,28.0,17,45000000
3,2,106.78816599999999,-6.175894,1,70.0,24,100000000
3,3,106.78322299999999,-6.220912,0,137.0,21,160000000
0,1,106.83846299999999,-6.191791,1,33.0,21,94200000
0,1,106.62910600000001,-6.199893,0,24.0,16,16800000
2,1,106.84986599999999,-6.257697,1,35.0,24,57000000
2,1,106.85493600000001,-6.147823000000001,1,74.0,22,75000000
2,2,106.794123,-6.222613,1,135.0,20,372450000
2,1,106.88373,-6.157527,1,35.0,21,38000000
2,2,106.73873,-6.190723,1,88.0,24,140000000
2,1,106.890391,-6.149836,1,45.0,24,65000000
2,1,106.813631,-6.211458,1,94.0,22,245400000
1,1,106.813631,-6.211458,1,54.0,23,132000000
2,1,106.75606100000002,-6.192081,1,35.0,21,42000000
0,1,106.866201,-6.245201,1,25.0,19,52150000
2,2,106.815297,-6.149237,1,60.0,18,60500000
1,1,106.730093,-6.174074,1,41.0,13,62000000
